ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
29	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	29	31,36,38	185,192,189	22,16,21	51,62,57	363	149	0.003743073081	0.01759548282798626	0.064,0.071,0.076	0.15,0.096,0.131	-0.055
31	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	31	8,11,11	18,21,13	20,34,19	22,25,15	273	149	0.0149025565558	0.05492489747255182	0.195,0.222,0.316	0.332,0.426,0.409	-0.145
32	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357	32	1,1,0	48,41,47	1,0,0	50,49,32	1223	149	1	1.0	0.003,0.003,0.0	0.002,0.0,0.0	0.001
33	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119	33	2,3,0	60,35,53	2,3,4	40,54,35	1432	149	1	1.0	0.003,0.009,0.0	0.005,0.006,0.012	-0.004
38	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	38	127,222,174	384,363,375	155,182,197	238,249,211	2371	149	9.47805432461e-06	0.00010505425161563309	0.02,0.037,0.028	0.039,0.044,0.055	-0.018
39	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	39	102,126,118	373,364,348	103,130,125	198,227,225	817	149	8.09057867401e-06	9.170134804307118e-05	0.048,0.059,0.058	0.087,0.095,0.092	-0.036
40	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	40	83,83,76	349,357,333	85,98,118	217,256,213	1730	149	9.88000448898e-07	1.4695042249814918e-05	0.02,0.02,0.019	0.033,0.032,0.046	-0.017
41	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	41	220,211,199	2,0,3	230,311,322	7,0,2	1192	149	0.461190260444	0.8056912488629396	0.932,1.0,0.892	0.804,1.0,0.953	0.022
42	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33906448	33906500	33907340	33907453	42	41,47,37	2,0,0	48,54,54	1,2,7	989	149	0.000730942976385	0.0044780912111289425	0.755,1.0,1.0	0.879,0.803,0.538	0.178
45	"ENSG00000186575"	"NF2"	chr22	+	29683019	29683915	29683019	29683064	29683700	29683915	45	4,11,5	2,0,0	3,3,0	0,0,0	785	149	1	1.0	0.275,1.0,1.0	1.0,1.0,NA	-0.242
46	"ENSG00000138942"	"RNF185"	chr22	+	31204488	31207013	31204488	31204966	31205376	31207013	46	266,213,246	0,1,0	376,293,344	0,0,0	559	149	1	1.0	1.0,0.983,1.0	1.0,1.0,1.0	-0.006
47	"ENSG00000185133"	"INPP5J"	chr22	+	31124844	31126010	31124844	31124906	31125832	31126010	47	83,64,55	2,0,0	120,100,114	1,2,1	1075	149	0.1271212379	0.3080213897087572	0.852,1.0,1.0	0.943,0.874,0.94	0.032
48	"ENSG00000185133"	"INPP5J"	chr22	+	31126612	31127532	31126612	31126721	31127356	31127532	48	21,17,7	0,2,0	35,47,40	6,16,19	784	149	2.11087795154e-05	0.00020903246662223735	1.0,0.618,1.0	0.526,0.358,0.286	0.483
49	"ENSG00000185133"	"INPP5J"	chr22	+	31133609	31134696	31133609	31133714	31133912	31134696	49	2,1,0	18,21,25	1,6,2	39,72,30	347	149	0.204134904021	0.4394505971573358	0.046,0.02,0.0	0.011,0.035,0.028	-0.003
50	"ENSG00000198832"	"SELENOM"	chr22	-	31105929	31107533	31105929	31105965	31107376	31107533	50	17,34,19	284,287,289	14,16,35	237,237,260	1560	149	0.97707086474	1.0	0.006,0.011,0.006	0.006,0.006,0.013	-0.001
51	"ENSG00000070371"	"CLTCL1"	chr22	-	19196265	19196656	19196265	19196415	19196488	19196656	51	13,14,5	31,20,38	8,6,11	12,26,15	222	149	0.514917469416	0.8692935530241526	0.22,0.32,0.081	0.309,0.134,0.33	-0.051
53	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291561	29291599	53	1145,1275,1248	319,261,309	1206,1448,1380	301,238,266	2924	149	0.0495768382869	0.14695363723797142	0.155,0.199,0.171	0.17,0.237,0.209	-0.03
54	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291564	29291599	54	1155,1286,1263	392,362,362	1224,1458,1388	372,305,390	2927	149	0.141376357247	0.3354145296286183	0.13,0.153,0.151	0.143,0.196,0.153	-0.019
55	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299280	29298732	29298895	29299194	29299280	55	105,140,104	9,14,22	113,159,101	29,35,26	448	149	0.00896032090307	0.03643186121907337	0.795,0.769,0.611	0.564,0.602,0.564	0.148
56	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29298895	29299598	29299851	56	162,220,178	0,1,0	205,271,220	1,2,1	852	149	0.502476013479	0.8559607237308632	1.0,0.975,1.0	0.973,0.96,0.975	0.022
57	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29299280	29299598	29299851	57	324,324,351	19,14,18	439,445,396	23,51,36	467	149	0.00951353349385	0.03822769925748188	0.845,0.881,0.862	0.859,0.736,0.778	0.072
58	"ENSG00000291064"	"RPL23AP7"	chr22	+	50783765	50784072	50783765	50783864	50783979	50784072	58	69,69,67	2,2,2	153,173,148	7,12,8	264	149	0.0319859588167	0.1034936913389872	0.951,0.951,0.95	0.925,0.891,0.913	0.041
59	"ENSG00000291064"	"RPL23AP7"	chr22	+	50788749	50789354	50788749	50788802	50788891	50789354	59	4,3,0	0,0,0	12,5,6	1,0,3	238	149	1	1.0	1.0,1.0,NA	0.883,1.0,0.556	0.187
60	"ENSG00000291064"	"RPL23AP7"	chr22	+	50788749	50789186	50788749	50788798	50788894	50789186	60	4,3,0	2,1,0	12,5,7	7,3,4	245	149	1	1.0	0.549,0.646,NA	0.51,0.503,0.516	0.088
62	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38492055	38492115	62	8825,9954,8837	295,288,302	5828,5933,5844	254,241,258	4089	149	0.00279853717583	0.013729980955212894	0.522,0.557,0.516	0.455,0.473,0.452	0.072
63	"ENSG00000100097"	"LGALS1"	chr22	+	37678375	37678654	37678375	37678392	37678482	37678654	63	6,7,7	0,2,0	6,3,13	1,0,0	239	149	1	1.0	1.0,0.686,1.0	0.789,1.0,1.0	-0.034
64	"ENSG00000100099"	"HPS4"	chr22	-	26463916	26464826	26463916	26464443	26464590	26464826	64	215,208,203	2,2,1	152,168,162	2,1,1	296	149	1	1.0	0.982,0.981,0.99	0.975,0.988,0.988	0.001
65	"ENSG00000100099"	"HPS4"	chr22	-	26463916	26466262	26463916	26464826	26465454	26466262	65	17,21,16	113,98,96	21,13,49	93,94,103	777	149	0.0214072935113	0.07438194412098052	0.028,0.039,0.031	0.042,0.026,0.084	-0.018
66	"ENSG00000100099"	"HPS4"	chr22	-	26463916	26466262	26463916	26464826	26466225	26466262	66	86,155,119	0,0,0	89,118,138	3,0,0	1548	149	0.611813897346	0.9728526075271491	1.0,1.0,1.0	0.741,1.0,1.0	0.086
67	"ENSG00000100099"	"HPS4"	chr22	-	26465454	26466262	26465454	26465551	26466225	26466262	67	78,140,114	61,64,57	78,109,99	41,48,57	823	149	0.631713450781	0.9912666245781661	0.188,0.284,0.266	0.256,0.291,0.239	-0.016
68	"ENSG00000100099"	"HPS4"	chr22	-	26466225	26468623	26466225	26466262	26468550	26468623	68	146,196,196	60,66,54	120,127,132	40,52,64	2437	149	0.179326055986	0.3978796867189375	0.13,0.154,0.182	0.155,0.13,0.112	0.023
69	"ENSG00000100099"	"HPS4"	chr22	-	26470689	26472939	26470689	26472418	26472831	26472939	69	1,4,2	90,52,76	1,2,1	63,71,50	562	149	1	1.0	0.003,0.02,0.007	0.004,0.007,0.005	0.005
72	"ENSG00000185339"	"TCN2"	chr22	+	30612872	30614501	30612872	30613042	30614348	30614501	72	0,0,0	2,0,1	2,9,1	3,1,1	1455	149	1	1.0	0.0,NA,0.0	0.064,0.48,0.093	-0.212
73	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41219418	41219536	73	29,35,25	83,56,72	22,22,40	84,82,92	2365	149	0.185628509193	0.4074191193311514	0.022,0.038,0.021	0.016,0.017,0.027	0.007
74	"ENSG00000100395"	"L3MBTL2"	chr22	+	41227088	41227869	41227088	41227323	41227803	41227869	74	28,21,16	61,56,58	15,20,23	76,73,85	629	149	0.0719595944662	0.1983765230595682	0.098,0.082,0.061	0.045,0.061,0.06	0.025
75	"ENSG00000100325"	"ASCC2"	chr22	-	29793359	29793676	29793359	29793490	29793576	29793676	75	11,14,13	186,181,200	21,35,32	200,215,255	235	149	0.00101893638151	0.0059307928903667905	0.036,0.047,0.04	0.062,0.094,0.074	-0.036
77	"ENSG00000099953"	"MMP11"	chr22	+	23779186	23780502	23779186	23779416	23780358	23780502	77	7,2,4	26,24,27	4,1,2	12,6,15	1091	149	0.727444628074	1.0	0.035,0.011,0.02	0.044,0.022,0.018	-0.006
78	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22556909	22557544	22557580	78	200,209,198	51,31,51	125,168,122	40,63,66	784	149	0.00129554949359	0.0072224485101913625	0.427,0.562,0.425	0.373,0.336,0.26	0.148
79	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22556930	22557544	22557580	79	185,193,173	71,64,64	111,149,113	61,59,82	763	149	0.010527817379	0.041396213999140015	0.337,0.371,0.345	0.262,0.33,0.212	0.083
80	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22556977	22557544	22557580	80	177,185,169	1,6,0	103,146,108	0,0,0	716	149	0.0320747738234	0.10373646230980164	0.974,0.865,1.0	1.0,1.0,1.0	-0.054
81	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22557086	22557544	22557580	81	166,169,156	6,4,0	92,132,102	0,1,0	607	149	0.00163177145713	0.0087531803181471	0.872,0.912,1.0	1.0,0.97,1.0	-0.062
89	"ENSG00000099957"	"P2RX6"	chr22	+	21026010	21026329	21026010	21026076	21026251	21026329	89	0,0,1	1,0,0	0,0,0	2,0,0	324	149	1	1.0	0.0,NA,1.0	0.0,NA,NA	0.5
90	"ENSG00000099957"	"P2RX6"	chr22	+	21026419	21028008	21026419	21026957	21027507	21028008	90	1,0,0	0,0,0	9,2,0	0,0,1	699	149	1	1.0	1.0,NA,NA	1.0,1.0,0.0	0.333
91	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38740888	38741050	91	16,18,28	0,0,0	32,30,28	0,0,1	605	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.873	0.042
92	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38741006	38741050	92	20,21,29	75,50,49	40,37,36	56,45,48	723	149	0.00172028950691	0.009123959710362691	0.052,0.08,0.109	0.128,0.145,0.134	-0.055
93	"ENSG00000100242"	"SUN2"	chr22	-	38750897	38751373	38750897	38751035	38751209	38751373	93	2,11,11	65,78,46	9,8,8	50,38,50	323	149	0.297009082535	0.5907215526317151	0.014,0.061,0.099	0.077,0.089,0.069	-0.02
94	"ENSG00000100350"	"FOXRED2"	chr22	-	36505895	36507040	36505895	36506423	36507008	36507040	94	256,273,282	16,18,14	192,297,261	12,14,17	734	149	0.869312623673	1.0	0.765,0.755,0.803	0.765,0.812,0.757	-0.004
96	"ENSG00000100241"	"SBF1"	chr22	-	50446805	50447453	50446805	50447240	50447321	50447453	96	6,10,10	190,227,215	10,23,21	135,194,197	230	149	0.000200316273547	0.0014941330770215282	0.02,0.028,0.029	0.046,0.071,0.065	-0.035
97	"ENSG00000100241"	"SBF1"	chr22	-	50446805	50447609	50446805	50447453	50447521	50447609	97	4,6,7	260,243,208	6,11,7	165,217,194	217	149	0.0873853106183	0.2310394091204858	0.01,0.017,0.023	0.024,0.034,0.024	-0.011
98	"ENSG00000100241"	"SBF1"	chr22	-	50447321	50447609	50447321	50447422	50447521	50447609	98	45,68,52	1,2,3	44,55,51	0,1,0	248	149	0.0907419630106	0.23737365784420422	0.964,0.953,0.912	1.0,0.971,1.0	-0.047
99	"ENSG00000100241"	"SBF1"	chr22	-	50447521	50448444	50447521	50447609	50448232	50448444	99	19,32,36	242,210,233	33,38,29	162,209,171	772	149	0.0365606965544	0.11522437280921875	0.015,0.029,0.029	0.038,0.034,0.032	-0.01
101	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448375	50448542	50448650	101	123,107,136	2,0,0	92,114,103	2,0,0	316	149	1	1.0	0.967,1.0,1.0	0.956,1.0,1.0	0.004
102	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448433	50448542	50448650	102	14,18,11	1,1,0	6,23,19	3,1,2	258	149	1	1.0	0.89,0.912,1.0	0.536,0.93,0.846	0.163
103	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448444	50448542	50448650	103	3,4,4	269,243,283	2,9,6	170,208,229	247	149	0.312523320379	0.6121943022312217	0.007,0.01,0.008	0.007,0.025,0.016	-0.008
104	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448444	50448544	50448650	104	4,6,5	0,1,0	3,9,9	0,0,1	249	149	1	1.0	1.0,0.782,1.0	1.0,1.0,0.843	-0.02
105	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454944	50454511	50454706	50454813	50454944	105	59,60,56	1,0,0	37,51,60	0,0,0	256	149	1	1.0	0.972,1.0,1.0	1.0,1.0,1.0	-0.009
106	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454944	50454511	50454725	50454813	50454944	106	41,46,42	4,0,0	25,35,37	5,2,0	237	149	0.118240003689	0.29188508196441454	0.866,1.0,1.0	0.759,0.917,1.0	0.063
107	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454944	50454511	50454742	50454813	50454944	107	6,5,7	334,346,325	4,11,9	184,250,279	220	149	0.055060134154	0.1609252697642734	0.012,0.01,0.014	0.015,0.029,0.021	-0.01
109	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455142	50454813	50454944	50455015	50455142	109	8,11,9	167,159,155	7,22,11	117,124,139	220	149	0.0255972664731	0.08627184392142885	0.031,0.045,0.038	0.039,0.107,0.051	-0.028
110	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455409	50454813	50455142	50455223	50455409	110	9,7,8	199,226,226	23,39,24	172,166,171	230	149	2.12060369265e-11	8.399822837307315e-10	0.028,0.02,0.022	0.08,0.132,0.083	-0.075
111	"ENSG00000100241"	"SBF1"	chr22	-	50455015	50455409	50455015	50455130	50455223	50455409	111	24,35,27	0,1,4	35,53,40	2,3,3	242	149	0.695412548013	1.0	1.0,0.956,0.806	0.915,0.916,0.891	0.013
112	"ENSG00000100241"	"SBF1"	chr22	-	50455480	50456395	50455480	50455582	50456215	50456395	112	22,26,28	130,123,166	38,56,57	95,108,99	782	149	7.88085074976e-09	1.8592878602725314e-07	0.031,0.039,0.031	0.071,0.09,0.099	-0.053
114	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50457111	50456491	50456673	50457033	50457111	114	39,56,32	82,55,70	41,38,34	43,78,77	509	149	0.7767364286	1.0	0.122,0.23,0.118	0.218,0.125,0.114	0.004
115	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50459392	50456491	50456673	50459254	50459392	115	90,140,93	80,79,41	84,125,155	32,48,51	2730	149	0.000773636053296	0.004676614407313812	0.058,0.088,0.11	0.125,0.124,0.142	-0.045
116	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50459392	50456491	50457111	50459254	50459392	116	60,95,73	74,53,73	52,93,130	45,68,71	2292	149	0.101080966818	0.25831421265611815	0.05,0.104,0.061	0.07,0.082,0.106	-0.014
117	"ENSG00000100241"	"SBF1"	chr22	-	50459469	50460159	50459469	50459666	50459951	50460159	117	37,54,46	136,116,108	26,49,48	73,83,97	434	149	0.169126166358	0.3816622272894477	0.085,0.138,0.128	0.109,0.169,0.145	-0.024
120	"ENSG00000100241"	"SBF1"	chr22	-	50460533	50461286	50460533	50460685	50461158	50461286	120	55,41,41	2,1,0	38,62,51	0,0,0	622	149	0.511032858923	0.8656388242751515	0.868,0.908,1.0	1.0,1.0,1.0	-0.075
121	"ENSG00000100241"	"SBF1"	chr22	-	50460533	50461286	50460533	50460712	50461158	50461286	121	13,12,8	85,92,97	18,24,25	71,100,75	595	149	0.000444679456644	0.0029625149164119943	0.037,0.032,0.02	0.06,0.057,0.077	-0.035
122	"ENSG00000100241"	"SBF1"	chr22	-	50461795	50462119	50461795	50461869	50461946	50462119	122	5,1,4	138,98,138	3,5,5	96,93,116	226	149	0.268577774747	0.5468929471715157	0.023,0.007,0.019	0.02,0.034,0.028	-0.011
123	"ENSG00000100241"	"SBF1"	chr22	-	50461795	50462119	50461795	50461869	50462007	50462119	123	61,46,57	1,0,0	51,47,50	0,1,0	287	149	1	1.0	0.969,1.0,1.0	1.0,0.961,1.0	0.003
124	"ENSG00000100241"	"SBF1"	chr22	-	50463282	50464441	50463282	50463432	50464328	50464441	124	1,2,9	127,99,103	8,6,4	50,70,63	1045	149	0.73288961052	1.0	0.001,0.003,0.012	0.022,0.012,0.009	-0.009
127	"ENSG00000100241"	"SBF1"	chr22	-	50465960	50466258	50465960	50466074	50466149	50466258	127	5,4,4	107,89,83	5,3,7	96,60,76	224	149	0.40972300507	0.7421360616502575	0.03,0.029,0.031	0.033,0.032,0.058	-0.011
128	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467693	50467337	50467443	50467531	50467693	128	15,12,17	4,4,3	9,18,10	2,3,4	237	149	0.899938253676	1.0	0.702,0.654,0.781	0.739,0.79,0.611	-0.001
129	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467693	50467337	50467448	50467531	50467693	129	10,8,11	163,134,136	8,16,10	98,126,119	232	149	0.158930443659	0.36555944956529157	0.038,0.037,0.049	0.05,0.075,0.051	-0.017
130	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467693	50467337	50467448	50467540	50467693	130	21,13,22	10,23,14	14,21,14	7,5,8	241	149	0.0913988945268	0.23874781643877274	0.565,0.259,0.493	0.553,0.722,0.52	-0.159
131	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467611	50467785	50467923	131	130,104,102	0,1,3	72,95,78	1,2,1	323	149	0.818591217246	1.0	1.0,0.98,0.94	0.971,0.956,0.973	0.007
132	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467690	50467785	50467923	132	5,5,5	84,75,95	6,5,7	70,74,87	244	149	0.444383606512	0.7860002403312132	0.035,0.039,0.031	0.05,0.04,0.047	-0.011
133	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467693	50467785	50467923	133	1,3,2	27,17,19	4,3,2	23,19,10	241	149	0.223490186084	0.4733034147905408	0.022,0.098,0.061	0.097,0.089,0.11	-0.038
134	"ENSG00000133460"	"SLC2A11"	chr22	+	23882758	23884024	23882758	23882869	23883873	23884024	134	18,30,21	0,0,0	18,27,21	0,1,0	1153	149	1	1.0	1.0,1.0,1.0	1.0,0.777,1.0	0.074
135	"ENSG00000133460"	"SLC2A11"	chr22	+	23882758	23884024	23882758	23882869	23883948	23884024	135	19,34,23	1,0,0	19,31,23	0,0,1	1228	149	1	1.0	0.697,1.0,1.0	1.0,1.0,0.736	-0.013
136	"ENSG00000133460"	"SLC2A11"	chr22	+	23883771	23884429	23883771	23883873	23884301	23884429	136	24,20,11	0,3,0	10,23,23	0,2,0	577	149	0.542918853855	0.9029850373729791	1.0,0.633,1.0	1.0,0.748,1.0	-0.038
137	"ENSG00000187860"	"CCDC157"	chr22	+	30370325	30371727	30370325	30370950	30371649	30371727	137	6,3,8	1,7,5	73,51,42	15,14,9	848	149	0.0106567180704	0.041837485757866666	0.513,0.07,0.219	0.461,0.39,0.451	-0.167
140	"ENSG00000206140"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468202	21468314	21468431	140	7,6,8	0,0,1	1,6,8	0,0,0	261	149	1	1.0	1.0,1.0,0.82	1.0,1.0,1.0	-0.06
141	"ENSG00000206140"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468017	21468353	21468431	141	8,6,10	0,0,0	1,6,11	0,1,0	485	149	1	1.0	1.0,1.0,1.0	1.0,0.648,1.0	0.117
142	"ENSG00000206140"	"TMEM191C"	chr22	+	21468943	21469346	21468943	21469003	21469273	21469346	142	5,0,1	0,0,0	1,3,4	0,4,1	419	149	1	1.0	1.0,NA,1.0	1.0,0.211,0.587	0.401
143	"ENSG00000206140"	"TMEM191C"	chr22	+	21468943	21469346	21468943	21469062	21469273	21469346	143	1,0,0	1,0,0	0,2,3	0,0,2	360	149	1	1.0	0.293,NA,NA	NA,1.0,0.383	-0.399
144	"ENSG00000206140"	"TMEM191C"	chr22	+	21469273	21469534	21469273	21469346	21469493	21469534	144	0,1,0	0,0,1	0,0,0	0,1,3	296	149	1	1.0	NA,1.0,0.0	NA,0.0,0.0	0.5
145	"ENSG00000206140"	"TMEM191C"	chr22	+	21469493	21469933	21469493	21469534	21469616	21469933	145	0,1,2	0,1,0	0,2,1	0,0,0	231	149	1	1.0	NA,0.392,1.0	NA,1.0,1.0	-0.304
146	"ENSG00000100299"	"ARSA"	chr22	-	50626590	50627406	50626590	50626760	50627165	50627406	146	53,40,31	2,2,0	35,82,78	1,2,0	554	149	0.543349540276	0.9031026148668676	0.877,0.843,1.0	0.904,0.917,1.0	-0.034
147	"ENSG00000100299"	"ARSA"	chr22	-	50627555	50628170	50627555	50627792	50627945	50628170	147	60,81,75	19,10,9	58,74,65	10,4,6	302	149	0.0955036276443	0.24654514592640075	0.609,0.8,0.804	0.741,0.901,0.842	-0.09
148	"ENSG00000025770"	"NCAPH2"	chr22	+	50523016	50523472	50523016	50523166	50523234	50523472	148	17,12,8	152,134,139	23,30,35	173,141,179	217	149	0.000536132235031	0.0034550569934664035	0.071,0.058,0.038	0.084,0.127,0.118	-0.054
149	"ENSG00000100033"	"PRODH"	chr22	-	18919705	18922404	18919705	18919798	18921341	18922404	149	0,0,0	2,0,0	0,1,0	0,0,0	1692	149	1	1.0	0.0,NA,NA	NA,1.0,NA	-1.0
152	"ENSG00000100276"	"RASL10A"	chr22	-	29312932	29313987	29312932	29313568	29313862	29313987	152	14,22,17	12,7,6	9,1,7	9,4,7	443	149	0.0238433682444	0.08136891531514569	0.282,0.514,0.488	0.252,0.078,0.252	0.234
153	"ENSG00000161179"	"YDJC"	chr22	-	21629009	21629407	21629009	21629187	21629307	21629407	153	93,96,93	442,417,389	83,114,99	211,235,218	269	149	8.71832820382e-08	1.6161117749248603e-06	0.104,0.113,0.117	0.179,0.212,0.201	-0.086
154	"ENSG00000161179"	"YDJC"	chr22	-	21629307	21629761	21629307	21629407	21629542	21629761	154	223,208,243	188,201,204	233,220,238	150,153,145	284	149	0.00839364854984	0.03440664432793891	0.384,0.352,0.385	0.449,0.43,0.463	-0.074
155	"ENSG00000161179"	"YDJC"	chr22	-	21629009	21629761	21629009	21629407	21629601	21629761	155	387,365,441	303,275,293	398,356,376	131,145,144	343	149	4.85321005605e-10	1.4494150349933451e-08	0.357,0.366,0.395	0.569,0.516,0.531	-0.166
156	"ENSG00000128298"	"BAIAP2L2"	chr22	-	38086241	38087264	38086241	38086449	38087123	38087264	156	0,0,0	1,1,2	1,1,0	7,2,8	823	149	1	1.0	0.0,0.0,0.0	0.025,0.083,0.0	-0.036
