ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16	"ENSG00000278932"	NA	chr21	+	9368208	9368911	9368667	9368911	9367173	9367275	16	2,1,1	5,1,0	1,1,0	2,5,4	608	149	1	1.0	0.089,0.197,1.0	0.109,0.047,0.0	0.377
17	"ENSG00000278932"	NA	chr21	+	9368465	9368911	9368667	9368911	9367173	9367275	17	0,2,0	5,1,0	0,7,0	2,5,4	351	149	1	1.0	0.0,0.459,NA	0.0,0.373,0.0	0.105
31	"ENSG00000160223"	"ICOSLG"	chr21	-	44227481	44229546	44227481	44229044	44230053	44230089	31	5,0,2	0,2,0	0,7,0	0,0,0	651	149	1	1.0	1.0,0.0,1.0	NA,1.0,NA	-0.333
35	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445854	39445929	35	15,7,4	1,1,2	11,9,8	0,0,2	154	149	0.254238183172	0.9905104666690084	0.936,0.871,0.659	1.0,1.0,0.795	-0.11
36	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462533	39462560	39445854	39445929	36	55,45,41	1,1,0	51,50,42	0,0,0	308	149	1	1.0	0.964,0.956,1.0	1.0,1.0,1.0	-0.027
37	"ENSG00000185437"	"SH3BGR"	chr21	+	39462379	39462560	39462533	39462560	39445854	39445929	37	41,39,39	1,1,0	40,41,36	0,0,0	303	149	1	1.0	0.953,0.95,1.0	1.0,1.0,1.0	-0.032
38	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445864	39445892	38	7,3,3	0,0,0	5,2,5	1,0,0	154	149	1	1.0	1.0,1.0,1.0	0.829,1.0,1.0	0.057
39	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445930	39446098	39	5,1,0	0,0,0	3,4,3	0,1,0	154	149	1	1.0	1.0,1.0,NA	1.0,0.795,1.0	0.068
44	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820	44	97,84,102	2,1,1	69,70,76	1,3,0	182	149	0.546010304841	1.0	0.975,0.986,0.988	0.983,0.95,1.0	0.005
45	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542586	33542842	45	95,80,98	1,0,0	59,64,68	1,0,0	182	149	1	1.0	0.987,1.0,1.0	0.98,1.0,1.0	0.002
48	"ENSG00000159267"	"HLCS"	chr21	-	36756541	36756980	36756541	36756755	36759726	36759841	48	5,0,3	31,25,18	5,8,1	20,22,17	374	149	0.0834853976351	0.48495321834943805	0.06,0.0,0.062	0.091,0.127,0.023	-0.04
50	"ENSG00000183570"	"PCBP3"	chr21	+	45929916	45929995	45929919	45929995	45917587	45917629	50	5,3,8	4,1,1	3,4,3	0,0,0	152	149	0.000610194868243	0.012422330019346242	0.551,0.746,0.887	1.0,1.0,1.0	-0.272
51	"ENSG00000183570"	"PCBP3"	chr21	+	45940029	45940199	45940036	45940199	45935252	45935305	51	12,7,10	1,0,0	6,8,3	0,0,0	156	149	1	1.0	0.92,1.0,1.0	1.0,1.0,1.0	-0.027
52	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019	52	278,470,363	1,0,0	290,321,367	0,4,3	2227	149	0.00464762261022	0.05823811736517993	0.949,1.0,1.0	1.0,0.843,0.891	0.072
56	"ENSG00000160191"	"PDE9A"	chr21	+	42698912	42699011	42698967	42699011	42687916	42687994	56	2,0,0	68,68,59	0,0,0	46,39,51	204	149	1	1.0	0.021,0.0,0.0	0.0,0.0,0.0	0.007
57	"ENSG00000160191"	"PDE9A"	chr21	+	42698912	42699011	42698967	42699011	42697414	42697490	57	1,0,0	3,4,2	0,0,2	6,3,5	204	149	1	1.0	0.196,0.0,0.0	0.0,0.0,0.226	-0.01
59	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840997	26841165	59	653,801,720	2,0,0	242,250,243	0,0,0	650	149	1	1.0	0.987,1.0,1.0	1.0,1.0,1.0	-0.004
60	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431	60	10,7,8	52,27,40	2,7,8	32,34,27	152	149	0.641984100543	1.0	0.159,0.203,0.164	0.058,0.168,0.225	0.025
61	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36038149	36038273	61	31,29,25	0,0,0	44,50,42	0,0,1	440	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.934	0.022
62	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242	62	2,4,2	0,1,0	5,10,4	1,0,1	198	149	1	1.0	1.0,0.751,1.0	0.79,1.0,0.751	0.07
63	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060281	36060313	63	2,4,3	3,4,2	5,10,7	7,6,6	198	149	0.756321747666	1.0	0.334,0.429,0.53	0.35,0.556,0.468	-0.027
64	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060346	36060526	64	12,9,8	46,34,28	21,21,16	43,46,38	198	149	0.0383977095427	0.28645610053635656	0.164,0.166,0.177	0.269,0.256,0.241	-0.086
65	"ENSG00000160216"	"AGPAT3"	chr21	+	43967868	43968115	43967945	43968115	43960631	43960779	65	3,5,6	13,10,7	0,6,3	4,5,4	226	149	0.912958917353	1.0	0.132,0.248,0.361	0.0,0.442,0.331	-0.011
66	"ENSG00000160209"	"PDXK"	chr21	+	43743668	43743807	43743723	43743807	43741666	43741771	66	14,10,12	231,267,273	11,9,5	217,193,177	204	149	0.656104110428	1.0	0.042,0.027,0.031	0.036,0.033,0.02	0.004
67	"ENSG00000160209"	"PDXK"	chr21	+	43755476	43755764	43755697	43755764	43753582	43753719	67	4,5,5	293,329,312	2,3,5	208,212,220	370	149	1	1.0	0.005,0.006,0.006	0.004,0.006,0.009	-0.001
71	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682	71	536,596,529	3,8,4	366,420,413	13,13,12	2480	149	1.6015712124e-05	0.0005936453294633706	0.915,0.817,0.888	0.628,0.66,0.674	0.219
72	"ENSG00000141959"	"PFKL"	chr21	+	44325731	44326060	44325960	44326060	44325152	44325264	72	58,61,55	486,394,423	88,104,124	284,320,270	378	149	2.91988655476e-14	9.98507011839057e-12	0.045,0.058,0.049	0.109,0.114,0.153	-0.075
73	"ENSG00000241837"	"ATP5PO"	chr21	-	33903455	33903656	33903455	33903639	33903934	33904021	73	9,10,12	1079,1030,1061	7,7,6	1018,860,835	166	149	1	1.0	0.007,0.009,0.01	0.006,0.007,0.006	0.002
74	"ENSG00000156304"	"SCAF4"	chr21	-	31685048	31685240	31685048	31685174	31685397	31685484	74	122,101,185	20,16,21	107,127,149	27,44,31	215	149	0.00127646354049	0.021754868375819005	0.809,0.814,0.859	0.733,0.667,0.769	0.104
75	"ENSG00000156304"	"SCAF4"	chr21	-	31696568	31696750	31696568	31696736	31700994	31701171	75	83,85,88	1,0,0	77,75,85	0,0,0	163	149	1	1.0	0.987,1.0,1.0	1.0,1.0,1.0	-0.004
77	"ENSG00000183765"	"CHEK2"	chr22	-	28695126	28695242	28695126	28695209	28695709	28695873	77	261,237,228	7,2,6	183,163,185	1,3,4	182	149	0.323107774536	1.0	0.968,0.99,0.969	0.993,0.978,0.974	-0.006
79	"ENSG00000100150"	"DEPDC5"	chr22	+	31758526	31758633	31758545	31758633	31754861	31754979	79	0,1,0	22,30,37	0,0,0	26,20,20	168	149	1	1.0	0.0,0.029,0.0	0.0,0.0,0.0	0.01
81	"ENSG00000100150"	"DEPDC5"	chr22	+	31836971	31837155	31836998	31837155	31833914	31833980	81	7,7,4	2,5,3	7,9,4	2,1,3	176	149	0.255747622987	0.9945636651816533	0.748,0.542,0.53	0.748,0.884,0.53	-0.114
82	"ENSG00000100150"	"DEPDC5"	chr22	+	31836971	31837155	31837093	31837155	31833914	31833980	82	14,12,6	0,0,0	13,17,11	1,2,1	271	149	0.0201456198828	0.178470702553673	1.0,1.0,1.0	0.877,0.824,0.858	0.147
83	"ENSG00000100150"	"DEPDC5"	chr22	+	31836998	31837155	31837093	31837155	31833914	31833980	83	9,10,5	0,0,0	8,9,10	1,2,1	244	149	0.0804578802897	0.47358911102227075	1.0,1.0,1.0	0.83,0.733,0.859	0.193
84	"ENSG00000100150"	"DEPDC5"	chr22	+	31873171	31873332	31873254	31873332	31870589	31870744	84	0,3,2	13,8,14	0,5,2	12,10,21	232	149	0.701910502723	1.0	0.0,0.194,0.084	0.0,0.243,0.058	-0.008
85	"ENSG00000100150"	"DEPDC5"	chr22	+	31874272	31874405	31874277	31874405	31873254	31873332	85	16,11,17	0,0,0	9,10,15	1,0,2	154	149	0.50522424812	1.0	1.0,1.0,1.0	0.897,1.0,0.879	0.075
86	"ENSG00000100150"	"DEPDC5"	chr22	+	31876086	31876265	31876156	31876265	31874272	31874405	86	0,0,0	23,8,13	0,1,0	9,10,10	219	149	1	1.0	0.0,0.0,0.0	0.0,0.064,0.0	-0.021
87	"ENSG00000215012"	"RTL10"	chr22	-	19846145	19852486	19846145	19847389	19854442	19854539	87	1461,1456,1459	0,2,2	799,1026,974	0,0,0	5246	149	0.400990228271	1.0	1.0,0.954,0.954	1.0,1.0,1.0	-0.031
88	"ENSG00000185133"	"INPP5J"	chr22	+	31126293	31126489	31126375	31126489	31125832	31126010	88	3,2,1	11,9,11	3,8,2	25,31,23	231	149	0.819985877718	1.0	0.15,0.125,0.055	0.072,0.143,0.053	0.021
89	"ENSG00000070371"	"CLTCL1"	chr22	-	19196265	19196656	19196265	19196415	19199733	19199841	89	43,50,42	0,0,0	38,32,46	0,1,0	390	149	1	1.0	1.0,1.0,1.0	1.0,0.924,1.0	0.025
90	"ENSG00000182944"	"EWSR1"	chr22	+	29272379	29272431	29272385	29272431	29272215	29272252	90	1757,1581,1776	8,1,1	1883,1914,1998	7,6,1	155	149	1	1.0	0.995,0.999,0.999	0.996,0.997,0.999	0.0
91	"ENSG00000182944"	"EWSR1"	chr22	+	29273737	29273864	29273740	29273864	29272379	29272431	91	81,56,82	1931,1719,1913	88,111,101	2162,2101,2217	152	149	0.174535650128	0.7923993263412967	0.039,0.031,0.04	0.038,0.049,0.043	-0.007
93	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29278029	29278216	93	10,11,15	0,0,0	18,10,8	0,1,1	152	149	1	1.0	1.0,1.0,1.0	1.0,0.907,0.887	0.069
94	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29291561	29291599	29286922	29287134	94	2266,2164,2239	0,0,0	2333,2730,2511	3,1,5	3105	149	0.305485496479	1.0	1.0,1.0,1.0	0.974,0.992,0.96	0.025
95	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29291564	29291599	29286922	29287134	95	2276,2175,2254	0,0,0	2350,2740,2519	8,5,10	3108	149	1.00932808045e-06	5.118413800078924e-05	1.0,1.0,1.0	0.934,0.963,0.924	0.06
96	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29286922	29287134	96	10,11,15	0,0,0	20,11,13	8,5,10	152	149	1.47204948231e-09	1.9030727514595498e-07	1.0,1.0,1.0	0.71,0.683,0.56	0.349
97	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29288605	29288786	97	329,272,324	392,362,362	318,248,274	372,305,390	152	149	0.634945271832	1.0	0.451,0.424,0.467	0.456,0.444,0.408	0.011
98	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29288986	29289062	98	11,11,15	0,0,0	18,12,9	9,1,5	152	149	2.04505416268e-07	1.3634980615453258e-05	1.0,1.0,1.0	0.662,0.922,0.638	0.259
99	"ENSG00000182944"	"EWSR1"	chr22	+	29292487	29292606	29292499	29292606	29292158	29292169	99	1460,1393,1484	0,0,0	1564,1207,1502	0,0,2	161	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.999	0.0
100	"ENSG00000228315"	"GUSBP11"	chr22	-	23690235	23695512	23690235	23690356	23705428	23705541	100	1131,1072,1152	0,0,0	1142,1291,1313	0,1,0	5305	149	1	1.0	1.0,1.0,1.0	1.0,0.973,1.0	0.009
101	"ENSG00000228315"	"GUSBP11"	chr22	-	23714186	23714342	23714186	23714286	23715008	23715194	101	59,54,63	0,0,0	131,95,95	0,0,1	205	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.986	0.005
104	"ENSG00000291064"	"RPL23AP7"	chr22	+	50788749	50789186	50788894	50789186	50785172	50785293	104	9,8,5	0,0,0	28,11,20	0,3,6	294	149	2.0997947749e-05	0.0007444790772145451	1.0,1.0,1.0	1.0,0.65,0.628	0.241
105	"ENSG00000100401"	"RANGAP1"	chr22	-	41280932	41281212	41280932	41281082	41284900	41285153	105	29,30,9	7,5,7	10,23,22	13,15,8	279	149	0.0864372609083	0.4974600449993965	0.689,0.762,0.407	0.291,0.45,0.595	0.174
106	"ENSG00000100401"	"RANGAP1"	chr22	-	41280932	41281212	41280932	41281082	41285985	41286187	106	30,30,9	294,219,242	9,23,27	264,257,266	279	149	0.324470447877	1.0	0.052,0.068,0.019	0.018,0.046,0.051	0.008
109	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38493709	38493771	109	9160,10281,9179	0,0,0	6093,6197,6109	0,2,0	4149	149	1	1.0	1.0,1.0,1.0	1.0,0.991,1.0	0.003
110	"ENSG00000100083"	"GGA1"	chr22	+	37613023	37613191	37613118	37613191	37608844	37608903	110	31,37,24	0,3,1	13,14,14	0,0,0	244	149	0.768117020712	1.0	1.0,0.883,0.936	1.0,1.0,1.0	-0.06
111	"ENSG00000100083"	"GGA1"	chr22	+	37613023	37613191	37613118	37613191	37609065	37609356	111	27,36,24	0,0,0	13,15,16	0,1,0	244	149	1	1.0	1.0,1.0,1.0	1.0,0.902,1.0	0.033
113	"ENSG00000100083"	"GGA1"	chr22	+	37614189	37614274	37614193	37614274	37613023	37613191	113	46,45,45	0,2,2	24,24,35	0,0,0	153	149	0.413389191094	1.0	1.0,0.956,0.956	1.0,1.0,1.0	-0.029
115	"ENSG00000100099"	"HPS4"	chr22	-	26470718	26470922	26470718	26470813	26472301	26472418	115	4,2,3	61,59,46	13,13,8	47,64,46	258	149	3.56657251545e-05	0.0011669517048236249	0.036,0.019,0.036	0.138,0.105,0.091	-0.081
117	"ENSG00000253352"	"TUG1"	chr22	+	30972854	30973601	30972923	30973601	30972047	30972172	117	49,55,44	0,1,1	60,54,72	0,1,0	218	149	1	1.0	1.0,0.974,0.968	1.0,0.974,1.0	-0.011
124	"ENSG00000100395"	"L3MBTL2"	chr22	+	41213850	41214026	41213892	41214026	41209695	41209933	124	3,1,3	87,62,66	5,4,8	82,74,78	191	149	0.0326796342581	0.255296096367073	0.026,0.012,0.034	0.045,0.04,0.074	-0.029
125	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41219418	41219536	41216138	41216262	125	113,75,84	0,0,0	92,96,105	0,1,0	2445	149	1	1.0	1.0,1.0,1.0	1.0,0.854,1.0	0.049
127	"ENSG00000099953"	"MMP11"	chr22	+	23781787	23782483	23782225	23782483	23781192	23781409	127	5,8,2	24,20,29	0,1,4	10,5,8	587	149	0.399892767221	1.0	0.05,0.092,0.017	0.0,0.048,0.113	-0.001
128	"ENSG00000099953"	"MMP11"	chr22	+	23781787	23782483	23782367	23782483	23781192	23781409	128	34,34,56	0,2,0	16,6,15	0,0,0	729	149	1	1.0	1.0,0.777,1.0	1.0,1.0,1.0	-0.074
129	"ENSG00000099953"	"MMP11"	chr22	+	23782225	23782483	23782367	23782483	23781192	23781409	129	53,46,83	0,2,0	26,10,19	0,0,0	291	149	1	1.0	1.0,0.922,1.0	1.0,1.0,1.0	-0.026
130	"ENSG00000250479"	"CHCHD10"	chr22	-	23766127	23766296	23766127	23766275	23767373	23767593	130	8,3,6	191,177,186	1,2,2	138,160,144	170	149	0.0264912405837	0.2205206278366379	0.035,0.015,0.027	0.006,0.011,0.012	0.016
131	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22556930	22556811	22556909	22557544	22557580	131	86,80,89	51,31,51	75,78,91	40,63,66	170	149	0.11947443649	0.6166253657402581	0.596,0.693,0.605	0.622,0.52,0.547	0.068
132	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22556977	22556811	22556909	22557544	22557580	132	24,30,29	51,31,51	22,22,14	40,63,66	217	149	0.0197912719781	0.17630863381499	0.244,0.399,0.281	0.274,0.193,0.127	0.11
133	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557086	22556811	22556909	22557544	22557580	133	40,44,42	51,31,51	33,37,20	40,63,66	326	149	0.0131810209322	0.13083520870997395	0.264,0.393,0.273	0.274,0.212,0.122	0.107
134	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22556977	22556811	22556930	22557544	22557580	134	9,14,4	71,64,64	8,3,5	61,59,82	196	149	0.0920113152906	0.5197220314546687	0.088,0.143,0.045	0.091,0.037,0.044	0.035
135	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557086	22556811	22556930	22557544	22557580	135	25,28,17	71,64,64	19,18,11	61,59,82	305	149	0.0788535558106	0.4668023210130577	0.147,0.176,0.115	0.132,0.13,0.062	0.038
136	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557086	22556811	22556977	22557544	22557580	136	17,20,13	1,6,0	11,15,6	0,0,0	258	149	0.000693598832369	0.013769365584164361	0.908,0.658,1.0	1.0,1.0,1.0	-0.145
138	"ENSG00000100227"	"POLDIP3"	chr22	-	42601969	42602107	42601969	42602056	42602769	42603160	138	1,2,1	199,172,150	1,0,1	113,138,137	200	149	1	1.0	0.004,0.009,0.005	0.007,0.0,0.005	0.002
149	"ENSG00000251322"	"SHANK3"	chr22	+	50705375	50706152	50706071	50706152	50704963	50705096	149	8,9,22	36,59,37	3,14,6	19,23,29	845	149	1	1.0	0.038,0.026,0.095	0.027,0.097,0.035	0.0
150	"ENSG00000100211"	"CBY1"	chr22	+	38670766	38670989	38670883	38670989	38656955	38657143	150	85,98,76	0,1,1	133,143,133	0,0,0	266	149	1	1.0	1.0,0.982,0.977	1.0,1.0,1.0	-0.014
151	"ENSG00000100211"	"CBY1"	chr22	+	38670766	38670989	38670883	38670989	38668016	38668132	151	149,144,127	314,326,354	232,258,235	345,287,345	266	149	3.6108402901e-07	2.2126310933728385e-05	0.21,0.198,0.167	0.274,0.335,0.276	-0.103
153	"ENSG00000100242"	"SUN2"	chr22	-	38750224	38750383	38750224	38750320	38750897	38751035	153	1,2,0	138,110,134	0,0,0	76,79,101	212	149	1	1.0	0.005,0.013,0.0	0.0,0.0,0.0	0.006
154	"ENSG00000100242"	"SUN2"	chr22	-	38754641	38754706	38754641	38754690	38755762	38756000	154	15,6,7	1,0,0	11,13,11	0,0,0	165	149	1	1.0	0.931,1.0,1.0	1.0,1.0,1.0	-0.023
155	"ENSG00000100350"	"FOXRED2"	chr22	-	36493632	36493803	36493632	36493798	36495966	36496208	155	161,150,130	0,0,1	85,130,160	1,3,4	154	149	0.659029310811	1.0	1.0,1.0,0.992	0.988,0.977,0.975	0.017
156	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970	156	3,1,5	2,1,3	0,0,0	3,0,5	152	149	1	1.0	0.595,0.495,0.62	0.0,NA,0.0	0.57
159	"ENSG00000100241"	"SBF1"	chr22	-	50447321	50447453	50447321	50447422	50447521	50447609	159	301,305,252	1,2,3	203,261,238	0,1,0	180	149	1	1.0	0.996,0.992,0.986	1.0,0.995,1.0	-0.007
160	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448433	50448232	50448375	50448542	50448650	160	110,90,125	2,0,0	89,92,86	2,0,0	207	149	1	1.0	0.975,1.0,1.0	0.97,1.0,1.0	0.002
161	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448444	50448232	50448375	50448542	50448650	161	389,344,415	2,0,0	260,313,325	2,0,0	218	149	1	1.0	0.993,1.0,1.0	0.989,1.0,1.0	0.001
162	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448444	50448232	50448433	50448542	50448650	162	280,255,290	1,1,0	174,222,241	3,1,2	160	149	1	1.0	0.996,0.996,1.0	0.982,0.995,0.991	0.008
163	"ENSG00000100241"	"SBF1"	chr22	-	50448542	50448650	50448542	50448647	50454511	50454742	163	226,226,215	2,1,2	165,176,226	1,0,1	152	149	1	1.0	0.991,0.996,0.991	0.994,1.0,0.996	-0.004
164	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454725	50454511	50454706	50454813	50454944	164	22,14,14	1,0,0	17,18,23	0,0,0	168	149	1	1.0	0.951,1.0,1.0	1.0,1.0,1.0	-0.016
165	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454742	50454511	50454706	50454813	50454944	165	387,401,374	1,0,0	217,290,330	0,0,0	185	149	1	1.0	0.997,1.0,1.0	1.0,1.0,1.0	-0.001
166	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454742	50454511	50454725	50454813	50454944	166	369,387,360	4,0,0	205,274,307	5,2,0	166	149	1	1.0	0.988,1.0,1.0	0.974,0.992,1.0	0.007
168	"ENSG00000100241"	"SBF1"	chr22	-	50455015	50455142	50455015	50455130	50455223	50455409	168	214,254,244	0,1,4	184,180,187	2,3,3	161	149	0.638830644217	1.0	1.0,0.996,0.983	0.988,0.982,0.983	0.009
171	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50457111	50456491	50456673	50459254	50459392	171	105,98,93	80,79,41	77,100,96	32,48,51	587	149	0.0793176658624	0.4686993176183402	0.25,0.239,0.365	0.379,0.346,0.323	-0.065
172	"ENSG00000100241"	"SBF1"	chr22	-	50459254	50459392	50459254	50459381	50459469	50459666	172	77,89,63	1,0,2	57,65,98	0,2,0	160	149	1	1.0	0.986,1.0,0.967	1.0,0.968,1.0	-0.005
173	"ENSG00000100241"	"SBF1"	chr22	-	50459254	50459410	50459254	50459381	50459469	50459666	173	15,17,11	1,0,2	8,12,16	0,2,0	178	149	0.852395468429	1.0	0.926,1.0,0.822	1.0,0.834,1.0	-0.029
174	"ENSG00000100241"	"SBF1"	chr22	-	50459254	50459410	50459254	50459392	50459469	50459666	174	5,2,2	67,74,54	5,1,1	54,54,83	167	149	0.552977545301	1.0	0.062,0.024,0.032	0.076,0.016,0.011	0.005
175	"ENSG00000100241"	"SBF1"	chr22	-	50459254	50459410	50459254	50459392	50459951	50460159	175	4,2,2	0,0,0	2,1,1	0,0,1	167	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.472	0.176
176	"ENSG00000100241"	"SBF1"	chr22	-	50460533	50460712	50460533	50460685	50461158	50461286	176	127,119,130	2,1,0	91,138,101	0,0,0	176	149	1	1.0	0.982,0.99,1.0	1.0,1.0,1.0	-0.009
179	"ENSG00000100241"	"SBF1"	chr22	-	50461946	50462119	50461946	50462107	50462204	50462470	179	164,135,140	0,0,0	107,120,123	0,1,0	161	149	1	1.0	1.0,1.0,1.0	1.0,0.991,1.0	0.003
183	"ENSG00000100241"	"SBF1"	chr22	-	50462558	50462717	50462558	50462714	50462869	50462938	183	109,97,101	1,0,0	73,86,74	0,0,0	152	149	1	1.0	0.991,1.0,1.0	1.0,1.0,1.0	-0.003
185	"ENSG00000100241"	"SBF1"	chr22	-	50465000	50465129	50465000	50465125	50465214	50465328	185	119,98,111	0,1,0	83,61,88	2,1,0	153	149	1	1.0	1.0,0.99,1.0	0.976,0.983,1.0	0.01
186	"ENSG00000100241"	"SBF1"	chr22	-	50465214	50465340	50465214	50465328	50465762	50465840	186	9,6,7	78,64,69	6,5,2	64,45,70	161	149	0.246553675161	0.9716905416565984	0.096,0.08,0.086	0.08,0.093,0.026	0.021
190	"ENSG00000100241"	"SBF1"	chr22	-	50465960	50466258	50465960	50466074	50466349	50466482	190	97,95,82	1,0,0	78,82,74	0,0,1	333	149	1	1.0	0.977,1.0,1.0	1.0,1.0,0.971	0.002
191	"ENSG00000100241"	"SBF1"	chr22	-	50466349	50466513	50466349	50466482	50466604	50466710	191	4,4,3	87,89,93	2,5,3	65,91,84	180	149	0.978461449477	1.0	0.037,0.036,0.026	0.025,0.044,0.029	0.0
192	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467448	50467337	50467443	50467531	50467690	192	168,138,142	4,4,3	99,128,119	2,3,4	154	149	0.942937042595	1.0	0.976,0.971,0.979	0.98,0.976,0.966	0.001
