ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
48	"ENSG00000185133"	"INPP5J"	chr22	+	31126612	31127532	31126612	31126721	31127356	31127532	48	21,17,7	0,2,0	24,6,24	1,0,1	784	149	1	1.0	1.0,0.618,1.0	0.82,1.0,0.82	-0.007
49	"ENSG00000185133"	"INPP5J"	chr22	+	31133609	31134696	31133609	31133714	31133912	31134696	49	2,1,0	18,21,25	2,0,3	17,3,21	347	149	0.257989628971	0.46771309116667414	0.046,0.02,0.0	0.048,0.0,0.058	-0.013
50	"ENSG00000198832"	"SELENOM"	chr22	-	31105929	31107533	31105929	31105965	31107376	31107533	50	17,34,19	284,287,289	18,28,28	246,258,258	1560	149	1	1.0	0.006,0.011,0.006	0.007,0.01,0.01	-0.001
51	"ENSG00000070371"	"CLTCL1"	chr22	-	19196265	19196656	19196265	19196415	19196488	19196656	51	13,14,5	31,20,38	3,3,7	18,15,11	222	149	0.465547123911	0.7466900260428305	0.22,0.32,0.081	0.101,0.118,0.299	0.034
53	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291561	29291599	53	1145,1275,1248	319,261,309	2038,1669,1957	226,210,193	2924	149	3.99680288865e-15	4.7754680468918443e-14	0.155,0.199,0.171	0.315,0.288,0.341	-0.14
54	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291564	29291599	54	1155,1286,1263	392,362,362	2048,1680,1966	318,272,251	2927	149	9.82547376793e-14	1.0591430409108776e-12	0.13,0.153,0.151	0.247,0.239,0.285	-0.112
55	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299280	29298732	29298895	29299194	29299280	55	105,140,104	9,14,22	291,223,280	22,19,22	448	149	0.0769873442672	0.16828731499970537	0.795,0.769,0.611	0.815,0.796,0.809	-0.082
56	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29298895	29299598	29299851	56	162,220,178	0,1,0	482,378,424	6,15,10	852	149	4.56573885033e-07	2.692764829939035e-06	1.0,0.975,1.0	0.934,0.815,0.881	0.115
57	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29299280	29299598	29299851	57	324,324,351	19,14,18	496,376,404	41,41,33	467	149	0.00170865312344	0.005585079532306755	0.845,0.881,0.862	0.794,0.745,0.796	0.084
58	"ENSG00000291064"	"RPL23AP7"	chr22	+	50783765	50784072	50783765	50783864	50783979	50784072	58	69,69,67	2,2,2	93,100,80	0,4,5	264	149	0.931450987883	1.0	0.951,0.951,0.95	1.0,0.934,0.9	0.006
59	"ENSG00000291064"	"RPL23AP7"	chr22	+	50788749	50789354	50788749	50788802	50788891	50789354	59	4,3,0	0,0,0	4,7,4	0,1,2	238	149	1	1.0	1.0,1.0,NA	1.0,0.814,0.556	0.21
60	"ENSG00000291064"	"RPL23AP7"	chr22	+	50788749	50789186	50788749	50788798	50788894	50789186	60	4,3,0	2,1,0	4,7,4	3,5,0	245	149	1	1.0	0.549,0.646,NA	0.448,0.46,1.0	-0.038
62	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38492055	38492115	62	8825,9954,8837	295,288,302	5758,4706,5499	220,217,209	4089	149	0.0157004364162	0.041330489303822035	0.522,0.557,0.516	0.488,0.441,0.489	0.059
63	"ENSG00000100097"	"LGALS1"	chr22	+	37678375	37678654	37678375	37678392	37678482	37678654	63	6,7,7	0,2,0	13,17,29	0,0,0	239	149	1	1.0	1.0,0.686,1.0	1.0,1.0,1.0	-0.105
64	"ENSG00000100099"	"HPS4"	chr22	-	26463916	26464826	26463916	26464443	26464590	26464826	64	215,208,203	2,2,1	117,59,80	2,0,0	296	149	1	1.0	0.982,0.981,0.99	0.967,1.0,1.0	-0.005
65	"ENSG00000100099"	"HPS4"	chr22	-	26463916	26466262	26463916	26464826	26465454	26466262	65	17,21,16	113,98,96	10,21,18	42,57,47	777	149	0.00947107530225	0.026231965503306077	0.028,0.039,0.031	0.044,0.066,0.068	-0.027
67	"ENSG00000100099"	"HPS4"	chr22	-	26465454	26466262	26465454	26465551	26466225	26466262	67	78,140,114	61,64,57	64,65,59	22,37,23	823	149	0.226115251679	0.4200339668925122	0.188,0.284,0.266	0.345,0.241,0.317	-0.055
68	"ENSG00000100099"	"HPS4"	chr22	-	26466225	26468623	26466225	26466262	26468550	26468623	68	146,196,196	60,66,54	88,86,111	28,40,27	2437	149	1	1.0	0.13,0.154,0.182	0.161,0.116,0.201	-0.004
69	"ENSG00000100099"	"HPS4"	chr22	-	26470689	26472939	26470689	26472418	26472831	26472939	69	1,4,2	90,52,76	3,5,1	40,22,31	562	149	0.324810296177	0.5635336529537049	0.003,0.02,0.007	0.019,0.057,0.008	-0.018
72	"ENSG00000185339"	"TCN2"	chr22	+	30612872	30614501	30612872	30613042	30614348	30614501	72	0,0,0	2,0,1	0,0,2	0,0,0	1455	149	1	1.0	0.0,NA,0.0	NA,NA,1.0	-1.0
73	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41219418	41219536	73	29,35,25	83,56,72	39,20,31	63,62,37	2365	149	0.18534708792	0.3551123241311053	0.022,0.038,0.021	0.038,0.02,0.05	-0.009
74	"ENSG00000100395"	"L3MBTL2"	chr22	+	41227088	41227869	41227088	41227323	41227803	41227869	74	28,21,16	61,56,58	21,11,27	45,42,53	629	149	0.619630912925	0.9202241876585278	0.098,0.082,0.061	0.1,0.058,0.108	-0.008
75	"ENSG00000100325"	"ASCC2"	chr22	-	29793359	29793676	29793359	29793490	29793576	29793676	75	11,14,13	186,181,200	21,15,30	136,87,132	235	149	5.37472204498e-06	2.767569566257484e-05	0.036,0.047,0.04	0.089,0.099,0.126	-0.064
77	"ENSG00000099953"	"MMP11"	chr22	+	23779186	23780502	23779186	23779416	23780358	23780502	77	7,2,4	26,24,27	2,0,3	11,10,8	1091	149	0.550293964705	0.8442490412178932	0.035,0.011,0.02	0.024,0.0,0.049	-0.002
78	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22556909	22557544	22557580	78	200,209,198	51,31,51	145,135,137	17,20,22	784	149	0.0407767706345	0.09665992756505554	0.427,0.562,0.425	0.618,0.562,0.542	-0.103
79	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22556930	22557544	22557580	79	185,193,173	71,64,64	139,125,130	39,45,37	763	149	0.303190008495	0.5335306850543855	0.337,0.371,0.345	0.41,0.352,0.407	-0.039
80	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22556977	22557544	22557580	80	177,185,169	1,6,0	133,120,127	0,0,0	716	149	0.0331817288752	0.08078268579442033	0.974,0.865,1.0	1.0,1.0,1.0	-0.054
81	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22557086	22557544	22557580	81	166,169,156	6,4,0	120,107,114	0,0,0	607	149	0.000698744070843	0.002484124323112524	0.872,0.912,1.0	1.0,1.0,1.0	-0.072
88	"ENSG00000251322"	"SHANK3"	chr22	+	50697998	50698803	50697998	50698342	50698689	50698803	88	2,2,0	0,0,0	3,1,1	0,0,1	496	149	1	1.0	1.0,1.0,NA	1.0,1.0,0.231	0.256
89	"ENSG00000099957"	"P2RX6"	chr22	+	21026010	21026329	21026010	21026076	21026251	21026329	89	0,0,1	1,0,0	0,0,1	0,0,0	324	149	1	1.0	0.0,NA,1.0	NA,NA,1.0	-0.5
92	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38741006	38741050	92	20,21,29	75,50,49	24,23,28	41,36,25	723	149	0.00828813247389	0.023252116332524227	0.052,0.08,0.109	0.108,0.116,0.188	-0.057
93	"ENSG00000100242"	"SUN2"	chr22	-	38750897	38751373	38750897	38751035	38751209	38751373	93	2,11,11	65,78,46	8,3,2	29,28,35	323	149	0.744925388879	1.0	0.014,0.061,0.099	0.113,0.047,0.026	-0.004
94	"ENSG00000100350"	"FOXRED2"	chr22	-	36505895	36507040	36505895	36506423	36507008	36507040	94	256,273,282	16,18,14	159,139,186	17,7,10	734	149	0.59226332423	0.890142964810568	0.765,0.755,0.803	0.655,0.801,0.791	0.025
96	"ENSG00000100241"	"SBF1"	chr22	-	50446805	50447453	50446805	50447240	50447321	50447453	96	6,10,10	190,227,215	27,27,18	119,88,105	230	149	1.83519865971e-13	1.9221428231629277e-12	0.02,0.028,0.029	0.128,0.166,0.1	-0.106
97	"ENSG00000100241"	"SBF1"	chr22	-	50446805	50447609	50446805	50447453	50447521	50447609	97	4,6,7	260,243,208	13,4,7	136,74,113	217	149	0.000900657158226	0.0031310981432866214	0.01,0.017,0.023	0.062,0.036,0.041	-0.03
98	"ENSG00000100241"	"SBF1"	chr22	-	50447321	50447609	50447321	50447422	50447521	50447609	98	45,68,52	1,2,3	49,31,35	1,1,1	248	149	0.25545021214	0.46436345801126544	0.964,0.953,0.912	0.967,0.949,0.955	-0.014
99	"ENSG00000100241"	"SBF1"	chr22	-	50447521	50448444	50447521	50447609	50448232	50448444	99	19,32,36	242,210,233	35,20,31	125,67,107	772	149	1.78802875141e-05	8.578820208194567e-05	0.015,0.029,0.029	0.051,0.054,0.053	-0.028
101	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448375	50448542	50448650	101	123,107,136	2,0,0	108,56,104	0,0,0	316	149	1	1.0	0.967,1.0,1.0	1.0,1.0,1.0	-0.011
102	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448433	50448542	50448650	102	14,18,11	1,1,0	31,17,34	1,0,0	258	149	1	1.0	0.89,0.912,1.0	0.947,1.0,1.0	-0.048
103	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448444	50448542	50448650	103	3,4,4	269,243,283	22,9,27	146,102,143	247	149	3.33066907388e-16	4.25495855389791e-15	0.007,0.01,0.008	0.083,0.051,0.102	-0.07
104	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448444	50448544	50448650	104	4,6,5	0,1,0	24,10,28	0,0,0	249	149	1	1.0	1.0,0.782,1.0	1.0,1.0,1.0	-0.073
105	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454944	50454511	50454706	50454813	50454944	105	59,60,56	1,0,0	35,27,45	0,0,1	256	149	1	1.0	0.972,1.0,1.0	1.0,1.0,0.963	0.003
106	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454944	50454511	50454725	50454813	50454944	106	41,46,42	4,0,0	26,22,32	3,3,1	237	149	0.0597297896251	0.13499992855578158	0.866,1.0,1.0	0.845,0.822,0.953	0.082
107	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454944	50454511	50454742	50454813	50454944	107	6,5,7	334,346,325	11,10,14	154,149,140	220	149	5.85716757429e-07	3.418919001466985e-06	0.012,0.01,0.014	0.046,0.043,0.063	-0.039
108	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455142	50454813	50454927	50455015	50455142	108	37,50,45	0,0,0	30,12,23	1,0,0	237	149	1	1.0	1.0,1.0,1.0	0.95,1.0,1.0	0.017
109	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455142	50454813	50454944	50455015	50455142	109	8,11,9	167,159,155	11,1,8	81,65,71	220	149	0.256075039763	0.46508742104542844	0.031,0.045,0.038	0.084,0.01,0.071	-0.017
110	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455409	50454813	50455142	50455223	50455409	110	9,7,8	199,226,226	19,9,22	119,96,109	230	149	3.41167611939e-08	2.2777410909200507e-07	0.028,0.02,0.022	0.094,0.057,0.116	-0.066
111	"ENSG00000100241"	"SBF1"	chr22	-	50455015	50455409	50455015	50455130	50455223	50455409	111	24,35,27	0,1,4	25,15,30	0,1,1	242	149	1	1.0	1.0,0.956,0.806	1.0,0.902,0.949	-0.03
112	"ENSG00000100241"	"SBF1"	chr22	-	50455480	50456395	50455480	50455582	50456215	50456395	112	22,26,28	130,123,166	38,27,27	78,53,58	782	149	5.9685257503e-07	3.481168573476714e-06	0.031,0.039,0.031	0.085,0.088,0.081	-0.051
114	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50457111	50456491	50456673	50457033	50457111	114	39,56,32	82,55,70	27,13,37	46,48,37	509	149	0.74621608548	1.0	0.122,0.23,0.118	0.147,0.073,0.226	0.008
115	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50459392	50456491	50456673	50459254	50459392	115	90,140,93	80,79,41	72,45,115	23,17,25	2730	149	3.3669938806e-05	0.00015509596265970307	0.058,0.088,0.11	0.146,0.126,0.201	-0.072
116	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50459392	50456491	50457111	50459254	50459392	116	60,95,73	74,53,73	48,37,88	40,31,27	2292	149	0.0373954019103	0.08945240163941277	0.05,0.104,0.061	0.072,0.072,0.175	-0.035
117	"ENSG00000100241"	"SBF1"	chr22	-	50459469	50460159	50459469	50459666	50459951	50460159	117	37,54,46	136,116,108	34,18,38	60,44,52	434	149	0.0341659146482	0.08287815826619868	0.085,0.138,0.128	0.163,0.123,0.201	-0.045
120	"ENSG00000100241"	"SBF1"	chr22	-	50460533	50461286	50460533	50460685	50461158	50461286	120	55,41,41	2,1,0	29,24,28	1,0,0	622	149	0.51474376513	0.8061225793679576	0.868,0.908,1.0	0.874,1.0,1.0	-0.033
121	"ENSG00000100241"	"SBF1"	chr22	-	50460533	50461286	50460533	50460712	50461158	50461286	121	13,12,8	85,92,97	9,13,11	54,46,77	595	149	0.131772177619	0.2658485681799716	0.037,0.032,0.02	0.04,0.066,0.035	-0.017
122	"ENSG00000100241"	"SBF1"	chr22	-	50461795	50462119	50461795	50461869	50461946	50462119	122	5,1,4	138,98,138	5,2,5	79,47,73	226	149	0.0893743462924	0.19084446877474887	0.023,0.007,0.019	0.04,0.027,0.043	-0.02
123	"ENSG00000100241"	"SBF1"	chr22	-	50461795	50462119	50461795	50461869	50462007	50462119	123	61,46,57	1,0,0	46,15,26	0,0,0	287	149	1	1.0	0.969,1.0,1.0	1.0,1.0,1.0	-0.01
124	"ENSG00000100241"	"SBF1"	chr22	-	50463282	50464441	50463282	50463432	50464328	50464441	124	1,2,9	127,99,103	12,5,11	69,43,52	1045	149	0.00310708327318	0.009603475466371334	0.001,0.003,0.012	0.024,0.016,0.029	-0.018
127	"ENSG00000100241"	"SBF1"	chr22	-	50465960	50466258	50465960	50466074	50466149	50466258	127	5,4,4	107,89,83	9,4,2	72,43,23	224	149	0.0497880442411	0.1153545399047011	0.03,0.029,0.031	0.077,0.058,0.055	-0.033
128	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467693	50467337	50467443	50467531	50467693	128	15,12,17	4,4,3	5,5,4	5,3,1	237	149	0.126786193048	0.2573362422942364	0.702,0.654,0.781	0.386,0.512,0.715	0.175
129	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467693	50467337	50467448	50467531	50467693	129	10,8,11	163,134,136	4,2,4	69,66,63	232	149	0.236189532093	0.4361149049699205	0.038,0.037,0.049	0.036,0.019,0.039	0.01
130	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467693	50467337	50467448	50467540	50467693	130	21,13,22	10,23,14	10,3,10	13,5,2	241	149	0.989219862801	1.0	0.565,0.259,0.493	0.322,0.271,0.756	-0.011
131	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467611	50467785	50467923	131	130,104,102	0,1,3	53,49,50	0,1,2	323	149	0.652258894545	0.9531525187651454	1.0,0.98,0.94	1.0,0.958,0.92	0.014
132	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467690	50467785	50467923	132	5,5,5	84,75,95	1,2,4	49,32,51	244	149	0.488243068868	0.7746426344050951	0.035,0.039,0.031	0.012,0.037,0.046	0.003
133	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467693	50467785	50467923	133	1,3,2	27,17,19	1,1,2	13,1,7	241	149	0.579274397678	0.8761495601094536	0.022,0.098,0.061	0.045,0.382,0.15	-0.132
135	"ENSG00000133460"	"SLC2A11"	chr22	+	23882758	23884024	23882758	23882869	23883948	23884024	135	19,34,23	1,0,0	39,17,24	0,0,0	1228	149	1	1.0	0.697,1.0,1.0	1.0,1.0,1.0	-0.101
136	"ENSG00000133460"	"SLC2A11"	chr22	+	23883771	23884429	23883771	23883873	23884301	23884429	136	24,20,11	0,3,0	17,7,13	1,0,1	577	149	0.654034237064	0.9549908654302108	1.0,0.633,1.0	0.814,1.0,0.77	0.016
137	"ENSG00000187860"	"CCDC157"	chr22	+	30370325	30371727	30370325	30370950	30371649	30371727	137	6,3,8	1,7,5	11,9,19	3,3,1	848	149	0.0321933935533	0.07871391324422754	0.513,0.07,0.219	0.392,0.345,0.77	-0.235
140	"ENSG00000206140"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468202	21468314	21468431	140	7,6,8	0,0,1	7,2,4	1,0,0	261	149	1	1.0	1.0,1.0,0.82	0.8,1.0,1.0	0.007
143	"ENSG00000206140"	"TMEM191C"	chr22	+	21468943	21469346	21468943	21469062	21469273	21469346	143	1,0,0	1,0,0	1,2,0	0,0,0	360	149	1	1.0	0.293,NA,NA	1.0,1.0,NA	-0.707
144	"ENSG00000206140"	"TMEM191C"	chr22	+	21469273	21469534	21469273	21469346	21469493	21469534	144	0,1,0	0,0,1	0,2,0	1,0,0	296	149	1	1.0	NA,1.0,0.0	0.0,1.0,NA	0.0
145	"ENSG00000206140"	"TMEM191C"	chr22	+	21469493	21469933	21469493	21469534	21469616	21469933	145	0,1,2	0,1,0	2,1,1	1,0,0	231	149	1	1.0	NA,0.392,1.0	0.563,1.0,1.0	-0.158
146	"ENSG00000100299"	"ARSA"	chr22	-	50626590	50627406	50626590	50626760	50627165	50627406	146	53,40,31	2,2,0	31,24,44	2,0,0	554	149	0.355902169204	0.6046897416940488	0.877,0.843,1.0	0.807,1.0,1.0	-0.029
147	"ENSG00000100299"	"ARSA"	chr22	-	50627555	50628170	50627555	50627792	50627945	50628170	147	60,81,75	19,10,9	46,24,37	2,3,9	302	149	0.329653129627	0.5698175578079177	0.609,0.8,0.804	0.919,0.798,0.67	-0.058
148	"ENSG00000025770"	"NCAPH2"	chr22	+	50523016	50523472	50523016	50523166	50523234	50523472	148	17,12,8	152,134,139	42,35,56	73,73,93	217	149	0	0.0	0.071,0.058,0.038	0.283,0.248,0.293	-0.219
152	"ENSG00000100276"	"RASL10A"	chr22	-	29312932	29313987	29312932	29313568	29313862	29313987	152	14,22,17	12,7,6	21,7,11	4,4,3	443	149	0.314802045381	0.5501771131581784	0.282,0.514,0.488	0.638,0.371,0.552	-0.092
153	"ENSG00000161179"	"YDJC"	chr22	-	21629009	21629407	21629009	21629187	21629307	21629407	153	93,96,93	442,417,389	108,83,102	157,110,158	269	149	0	0.0	0.104,0.113,0.117	0.276,0.295,0.263	-0.167
154	"ENSG00000161179"	"YDJC"	chr22	-	21629307	21629761	21629307	21629407	21629542	21629761	154	223,208,243	188,201,204	190,169,194	124,102,102	284	149	0.00106308104913	0.0036527642935206698	0.384,0.352,0.385	0.446,0.465,0.499	-0.096
155	"ENSG00000161179"	"YDJC"	chr22	-	21629009	21629761	21629009	21629407	21629601	21629761	155	387,365,441	303,275,293	304,271,281	108,81,109	343	149	6.28881391407e-11	5.393333558826118e-10	0.357,0.366,0.395	0.55,0.592,0.528	-0.184
156	"ENSG00000128298"	"BAIAP2L2"	chr22	-	38086241	38087264	38086241	38086449	38087123	38087264	156	0,0,0	1,1,2	0,0,1	3,1,0	823	149	1	1.0	0.0,0.0,0.0	0.0,0.0,1.0	-0.333
157	"ENSG00000128298"	"BAIAP2L2"	chr22	-	38087123	38088964	38087123	38087264	38088747	38088964	157	0,2,0	0,1,1	11,2,5	1,0,0	1632	149	1	1.0	NA,0.154,0.0	0.501,1.0,1.0	-0.757
158	"ENSG00000128298"	"BAIAP2L2"	chr22	-	38089095	38089674	38089095	38089231	38089521	38089674	158	1,1,0	0,0,0	2,0,3	1,0,0	439	149	1	1.0	1.0,1.0,NA	0.404,NA,1.0	0.298
160	"ENSG00000188130"	"MAPK12"	chr22	-	50255614	50256199	50255614	50255694	50256084	50256199	160	119,122,131	6,5,9	95,53,79	2,7,2	539	149	0.689539456356	0.98951702484939	0.846,0.871,0.801	0.929,0.677,0.916	-0.001
161	"ENSG00000128159"	"TUBGCP6"	chr22	-	50217917	50218402	50217917	50218117	50218188	50218402	161	22,36,25	44,48,37	30,27,21	24,13,26	220	149	0.0179395520799	0.04649549054334209	0.253,0.337,0.314	0.458,0.584,0.354	-0.164
162	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219791	50219287	50219456	50219643	50219791	162	58,54,33	77,63,71	37,25,37	53,28,56	336	149	0.815021627326	1.0	0.25,0.275,0.171	0.236,0.284,0.227	-0.017
