ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
9383,ENSG00000117477,CCDC181,chr1,-,169397236,169397391,169397236,169397388,169419012,169419159,9383,"24,23,35","6,8,2","42,29,37","19,29,22",152,149,0.000444191389291,0.0084487183766074,"0.797,0.738,0.945","0.684,0.495,0.622",0.226,3,32.666666666666664,59.33333333333333,CCDC181_chr1_-_169397236_169397391_169397236_169397388_169419012_169419159_3
10537,ENSG00000166478,ZNF143,chr11,+,9474549,9474633,9474552,9474633,9473940,9474024,10537,"44,35,31","20,25,18","17,15,13","27,27,17",152,149,8.197741608e-05,0.0021077258762478,"0.683,0.578,0.628","0.382,0.353,0.428",0.242,3,57.666666666666664,38.66666666666667,ZNF143_chr11_+_9474549_9474633_9474552_9474633_9473940_9474024_3
13005,ENSG00000041988,THAP3,chr1,+,6630287,6630353,6630290,6630353,6628498,6628691,13005,"74,77,87","16,15,10","52,51,52","39,25,27",152,149,7.25770900045e-08,4.126007566755825e-06,"0.819,0.834,0.895","0.567,0.667,0.654",0.22,3,93.0,82.0,THAP3_chr1_+_6630287_6630353_6630290_6630353_6628498_6628691_3
13781,ENSG00000147789,ZNF7,chr8,+,144837390,144837507,144837393,144837507,144829477,144829604,13781,"33,39,39","2,1,1","43,24,21","9,6,9",152,149,1.42572489759e-06,5.882839869773576e-05,"0.942,0.975,0.975","0.824,0.797,0.696",0.192,3,38.333333333333336,37.33333333333333,ZNF7_chr8_+_144837390_144837507_144837393_144837507_144829477_144829604_3
13897,ENSG00000249859,PVT1,chr8,+,128096517,128096654,128096520,128096654,127989161,127989291,13897,"13,16,11","1,0,0","33,41,36","10,8,3",152,149,1.81698563081e-05,0.0005566830526969,"0.927,1.0,1.0","0.764,0.834,0.922",0.136,3,13.666666666666668,43.666666666666664,PVT1_chr8_+_128096517_128096654_128096520_128096654_127989161_127989291_3
13916,ENSG00000179950,PUF60,chr8,-,143824312,143824399,143824312,143824396,143829279,143829315,13916,"264,285,270","67,64,64","291,306,222","128,129,106",152,149,1.26173981685e-06,5.335282456952914e-05,"0.794,0.814,0.805","0.69,0.699,0.672",0.117,3,338.0,394.0,PUF60_chr8_-_143824312_143824399_143824312_143824396_143829279_143829315_3
14523,ENSG00000165699,TSC1,chr9,-,132909806,132910692,132909806,132910689,132911001,132911113,14523,"38,24,33","7,11,6","20,9,10","12,9,15",152,149,0.000480115040452,0.0089531101828077,"0.842,0.681,0.844","0.62,0.495,0.395",0.286,3,39.66666666666667,25.0,TSC1_chr9_-_132909806_132910692_132909806_132910689_132911001_132911113_3
14572,ENSG00000198561,CTNND1,chr11,+,57816296,57818445,57816299,57818445,57815393,57815500,14572,"126,180,159","12,4,9","153,101,138","8,23,22",152,149,0.000437474010907,0.0083500546678256,"0.911,0.978,0.945","0.949,0.811,0.86",0.071,3,163.33333333333334,148.33333333333331,CTNND1_chr11_+_57816296_57818445_57816299_57818445_57815393_57815500_3
16204,ENSG00000197111,PCBP2,chr12,+,53468776,53468832,53468779,53468832,53467220,53467293,16204,"462,468,418","32,48,46","291,272,264","60,56,43",152,149,1.76045736422e-06,7.148714368279071e-05,"0.934,0.905,0.899","0.826,0.826,0.858",0.076,3,491.3333333333333,328.6666666666667,PCBP2_chr12_+_53468776_53468832_53468779_53468832_53467220_53467293_3
16240,ENSG00000196498,NCOR2,chr12,-,124429612,124429706,124429612,124429703,124430614,124430787,16240,"49,40,27","3,6,8","17,23,17","0,1,1",152,149,0.000261206076693,0.0055339995503094,"0.941,0.867,0.768","1.0,0.958,0.943",-0.108,3,44.33333333333333,19.666666666666668,NCOR2_chr12_-_124429612_124429706_124429612_124429703_124430614_124430787_3
