ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Distance,MeanCounts_SAMPLE_1,MeanCounts_SAMPLE_2,event_id
5804,ENSG00000111642,CHD4,chr12,-,6583197,6583378,6583197,6583375,6587383,6587559,5804,"393,413,362","9,20,19","348,332,290","34,29,29",152,149,1.47949363288e-05,0.0007012142267125,"0.977,0.953,0.949","0.909,0.918,0.907",0.048,3,405.3333333333333,354.0,CHD4_chr12_-_6583197_6583378_6583197_6583375_6587383_6587559_3
5863,ENSG00000179262,RAD23A,chr19,+,12949274,12949408,12949277,12949408,12949080,12949159,5863,"320,343,333","594,610,657","310,165,309","366,224,384",152,149,9.85831989827e-05,0.003305947276577,"0.346,0.355,0.332","0.454,0.419,0.441",-0.094,3,952.3333333333334,586.0,RAD23A_chr19_+_12949274_12949408_12949277_12949408_12949080_12949159_3
6295,ENSG00000135597,REPS1,chr6,-,138917554,138917627,138917554,138917624,138920214,138920316,6295,"79,67,65","24,16,12","70,64,60","41,45,29",152,149,1.82854419516e-05,0.0008368925020251,"0.763,0.804,0.842","0.626,0.582,0.67",0.177,3,87.66666666666666,103.0,REPS1_chr6_-_138917554_138917627_138917554_138917624_138920214_138920316_3
6537,ENSG00000265241,RBM8A,chr1,-,145926808,145926886,145926808,145926883,145927017,145927077,6537,"1685,1609,1758","249,178,229","1912,2339,2082","492,530,557",152,149,4.97213381578e-12,1.5149381431850835e-09,"0.869,0.899,0.883","0.792,0.812,0.786",0.087,3,1902.6666666666667,2637.3333333333335,RBM8A_chr1_-_145926808_145926886_145926808_145926883_145927017_145927077_3
6756,ENSG00000100029,PES1,chr22,-,30578836,30578998,30578836,30578995,30579136,30579303,6756,"938,927,943","101,81,93","1102,1236,1086","206,218,148",152,149,2.04938210369e-06,0.0001381304266567,"0.901,0.918,0.909","0.84,0.848,0.878",0.054,3,1027.6666666666667,1332.0,PES1_chr22_-_30578836_30578998_30578836_30578995_30579136_30579303_3
7112,ENSG00000001497,LAS1L,chrX,-,65514822,65514973,65514822,65514970,65517986,65518465,7112,"302,357,316","30,30,33","338,383,375","58,79,64",152,149,1.68084951578e-05,0.0007788212281712,"0.908,0.921,0.904","0.851,0.826,0.852",0.068,3,356.0,432.3333333333333,LAS1L_chrX_-_65514822_65514973_65514822_65514970_65517986_65518465_3
12755,ENSG00000122545,SEPTIN7,chr7,+,35831491,35831496,35831494,35831496,35801185,35801270,12755,"137,127,170","60,46,65","94,144,100","90,108,66",152,149,5.43071635462e-06,0.0003083531225894,"0.691,0.73,0.719","0.506,0.567,0.598",0.156,3,201.66666666666666,200.66666666666669,SEPTIN7_chr7_+_35831491_35831496_35831494_35831496_35801185_35801270_3
14122,ENSG00000130204,TOMM40,chr19,+,44891406,44891689,44891409,44891689,44891219,44891314,14122,"371,354,401","72,75,83","409,329,393","136,101,149",152,149,3.34037663491e-05,0.0013753581635011,"0.835,0.822,0.826","0.747,0.762,0.721",0.084,3,452.0,505.66666666666663,TOMM40_chr19_+_44891406_44891689_44891409_44891689_44891219_44891314_3
14745,ENSG00000198561,CTNND1,chr11,+,57816296,57818445,57816299,57818445,57815393,57815500,14745,"126,180,159","12,4,9","143,155,130","19,27,21",152,149,6.94974364324e-06,0.0003820209598531,"0.911,0.978,0.945","0.881,0.849,0.859",0.082,3,163.33333333333334,165.0,CTNND1_chr11_+_57816296_57818445_57816299_57818445_57815393_57815500_3
14942,ENSG00000162231,NXF1,chr11,-,62796286,62796345,62796286,62796342,62796459,62796567,14942,"85,83,91","1,0,0","159,142,133","10,6,5",152,149,0.000136314222273,0.0042134923661428,"0.988,1.0,1.0","0.94,0.959,0.963",0.042,3,86.66666666666666,151.66666666666666,NXF1_chr11_-_62796286_62796345_62796286_62796342_62796459_62796567_3
15995,ENSG00000179889,PDXDC1,chr16,+,14998339,14998405,14998342,14998405,14997752,14997826,15995,"334,352,350","5,5,5","210,220,248","15,10,7",152,149,0.000117127084142,0.0037396503751206,"0.985,0.986,0.986","0.932,0.956,0.972",0.032,3,350.3333333333333,236.66666666666666,PDXDC1_chr16_+_14998339_14998405_14998342_14998405_14997752_14997826_3
16428,ENSG00000078674,PCM1,chr8,+,17957536,17957775,17957539,17957775,17957263,17957421,16428,"0,0,1","20,33,26","6,4,4","28,29,35",152,149,2.03458024061e-05,0.0009040318202443,"0.0,0.0,0.036","0.174,0.119,0.101",-0.119,3,26.666666666666664,35.333333333333336,PCM1_chr8_+_17957536_17957775_17957539_17957775_17957263_17957421_3
